tri,taille,cas,plage,temps
bulle_basique,1000,aleatoire,petite,0.002777
bulle_basique_v2,1000,aleatoire,petite,0.001732
bulle_optimise,1000,aleatoire,petite,0.001733
cocktail,1000,aleatoire,petite,0.001413
selection,1000,aleatoire,petite,0.001081
insertion,1000,aleatoire,petite,0.000509
comptage,1000,aleatoire,petite,0.000008
fusion,1000,aleatoire,petite,0.000161
rapide,1000,aleatoire,petite,0.000151
bulle_basique,1000,croissant,petite,0.002060
bulle_basique_v2,1000,croissant,petite,0.001034
bulle_optimise,1000,croissant,petite,0.000002
cocktail,1000,croissant,petite,0.000005
selection,1000,croissant,petite,0.001043
insertion,1000,croissant,petite,0.000005
comptage,1000,croissant,petite,0.000010
fusion,1000,croissant,petite,0.000108
rapide,1000,croissant,petite,0.000033
bulle_basique,1000,decroissant,petite,0.002843
bulle_basique_v2,1000,decroissant,petite,0.001893
bulle_optimise,1000,decroissant,petite,0.001961
cocktail,1000,decroissant,petite,0.001923
selection,1000,decroissant,petite,0.001221
insertion,1000,decroissant,petite,0.001117
comptage,1000,decroissant,petite,0.000012
fusion,1000,decroissant,petite,0.000112
rapide,1000,decroissant,petite,0.000054
bulle_basique,1000,constant,petite,0.002043
bulle_basique_v2,1000,constant,petite,0.001032
bulle_optimise,1000,constant,petite,0.000003
cocktail,1000,constant,petite,0.000005
selection,1000,constant,petite,0.001053
insertion,1000,constant,petite,0.000003
comptage,1000,constant,petite,0.000008
fusion,1000,constant,petite,0.000103
rapide,1000,constant,petite,0.001780
bulle_basique,1000,aleatoire,grande,0.002802
bulle_basique_v2,1000,aleatoire,grande,0.001771
bulle_optimise,1000,aleatoire,grande,0.001771
cocktail,1000,aleatoire,grande,0.001469
selection,1000,aleatoire,grande,0.001121
insertion,1000,aleatoire,grande,0.000566
comptage,1000,aleatoire,grande,0.002938
fusion,1000,aleatoire,grande,0.000180
rapide,1000,aleatoire,grande,0.000101
bulle_basique,1000,croissant,grande,0.002046
bulle_basique_v2,1000,croissant,grande,0.001031
bulle_optimise,1000,croissant,grande,0.000003
cocktail,1000,croissant,grande,0.000004
selection,1000,croissant,grande,0.001080
insertion,1000,croissant,grande,0.000005
comptage,1000,croissant,grande,0.000027
fusion,1000,croissant,grande,0.000110
rapide,1000,croissant,grande,0.000033
bulle_basique,1000,decroissant,grande,0.003047
bulle_basique_v2,1000,decroissant,grande,0.001993
bulle_optimise,1000,decroissant,grande,0.002130
cocktail,1000,decroissant,grande,0.001813
selection,1000,decroissant,grande,0.001167
